========================================
 WEAVER ENGINE: 8-NODE DEEP HISTORY 
========================================
Enter Node ID (0-7): 
> [SYSTEM] Node 5 bound to :50005. Meshing topology...
[SYSTEM] Topology Locked. Entering FSM loop.
[HEARTBEAT] SimTick: 11475 | NetHead: 11474 | Confirmed: 11461 | Missing: 14 | StateHash: 0xDFE8E02E
[HEARTBEAT] SimTick: 11535 | NetHead: 11534 | Confirmed: 11521 | Missing: 14 | StateHash: 0x357B4969
[HEARTBEAT] SimTick: 11595 | NetHead: 11594 | Confirmed: 11581 | Missing: 14 | StateHash: 0x1E5A3B66
[HEARTBEAT] SimTick: 11655 | NetHead: 11654 | Confirmed: 11641 | Missing: 14 | StateHash: 0x0715FA09
[HEARTBEAT] SimTick: 11715 | NetHead: 11714 | Confirmed: 11701 | Missing: 14 | StateHash: 0x0A57DE86
[HEARTBEAT] SimTick: 11775 | NetHead: 11774 | Confirmed: 11761 | Missing: 14 | StateHash: 0x4A3A6A79
[HEARTBEAT] SimTick: 11835 | NetHead: 11834 | Confirmed: 11821 | Missing: 14 | StateHash: 0xCC791B56
[HEARTBEAT] SimTick: 11895 | NetHead: 11894 | Confirmed: 11881 | Missing: 14 | StateHash: 0x44F08C09
[HEARTBEAT] SimTick: 11955 | NetHead: 11954 | Confirmed: 11941 | Missing: 14 | StateHash: 0xC741F306
[HEARTBEAT] SimTick: 12015 | NetHead: 12014 | Confirmed: 12001 | Missing: 14 | StateHash: 0x38CF7149
[HEARTBEAT] SimTick: 12075 | NetHead: 12074 | Confirmed: 12061 | Missing: 14 | StateHash: 0x1DEF7886
[HEARTBEAT] SimTick: 12135 | NetHead: 12134 | Confirmed: 12121 | Missing: 14 | StateHash: 0x16B12499
[HEARTBEAT] SimTick: 12195 | NetHead: 12194 | Confirmed: 12181 | Missing: 14 | StateHash: 0x5971AC96
[HEARTBEAT] SimTick: 12255 | NetHead: 12254 | Confirmed: 12241 | Missing: 14 | StateHash: 0x41337A91
[HEARTBEAT] SimTick: 12315 | NetHead: 12314 | Confirmed: 12301 | Missing: 14 | StateHash: 0x530ECF5E
[HEARTBEAT] SimTick: 12375 | NetHead: 12374 | Confirmed: 12361 | Missing: 14 | StateHash: 0x2B2EABC9
[HEARTBEAT] SimTick: 12435 | NetHead: 12434 | Confirmed: 12421 | Missing: 14 | StateHash: 0x1E686D56
[HEARTBEAT] SimTick: 12496 | NetHead: 12495 | Confirmed: 12482 | Missing: 14 | StateHash: 0x2271CC71
[HEARTBEAT] SimTick: 12556 | NetHead: 12555 | Confirmed: 12542 | Missing: 14 | StateHash: 0x0F59212E
[HEARTBEAT] SimTick: 12616 | NetHead: 12615 | Confirmed: 12602 | Missing: 14 | StateHash: 0x0EA44439
[HEARTBEAT] SimTick: 12676 | NetHead: 12675 | Confirmed: 12662 | Missing: 14 | StateHash: 0xC067A256
