========================================
 WEAVER ENGINE: 8-NODE DEEP HISTORY 
========================================
Enter Node ID (0-7): 
> [SYSTEM] Node 6 bound to :50006. Meshing topology...
[SYSTEM] Topology Locked. Entering FSM loop.
[HEARTBEAT] SimTick: 11532 | NetHead: 11531 | Confirmed: 11524 | Missing: 8 | StateHash: 0x357B4969
[HEARTBEAT] SimTick: 11592 | NetHead: 11591 | Confirmed: 11584 | Missing: 8 | StateHash: 0x1E5A3B66
[HEARTBEAT] SimTick: 11652 | NetHead: 11651 | Confirmed: 11644 | Missing: 8 | StateHash: 0x0715FA09
[HEARTBEAT] SimTick: 11712 | NetHead: 11711 | Confirmed: 11704 | Missing: 8 | StateHash: 0x0A57DE86
[HEARTBEAT] SimTick: 11772 | NetHead: 11771 | Confirmed: 11764 | Missing: 8 | StateHash: 0x4A3A6A79
[HEARTBEAT] SimTick: 11832 | NetHead: 11831 | Confirmed: 11824 | Missing: 8 | StateHash: 0xCC791B56
[HEARTBEAT] SimTick: 11892 | NetHead: 11891 | Confirmed: 11884 | Missing: 8 | StateHash: 0x44F08C09
[HEARTBEAT] SimTick: 11953 | NetHead: 11952 | Confirmed: 11945 | Missing: 8 | StateHash: 0xC741F306
[HEARTBEAT] SimTick: 12013 | NetHead: 12012 | Confirmed: 12005 | Missing: 8 | StateHash: 0x38CF7149
[HEARTBEAT] SimTick: 12073 | NetHead: 12072 | Confirmed: 12065 | Missing: 8 | StateHash: 0x1DEF7886
[HEARTBEAT] SimTick: 12133 | NetHead: 12132 | Confirmed: 12125 | Missing: 8 | StateHash: 0x16B12499
[HEARTBEAT] SimTick: 12193 | NetHead: 12192 | Confirmed: 12185 | Missing: 8 | StateHash: 0x5971AC96
[HEARTBEAT] SimTick: 12253 | NetHead: 12252 | Confirmed: 12245 | Missing: 8 | StateHash: 0x41337A91
[HEARTBEAT] SimTick: 12313 | NetHead: 12312 | Confirmed: 12305 | Missing: 8 | StateHash: 0x530ECF5E
[HEARTBEAT] SimTick: 12373 | NetHead: 12372 | Confirmed: 12365 | Missing: 8 | StateHash: 0x2B2EABC9
[HEARTBEAT] SimTick: 12433 | NetHead: 12432 | Confirmed: 12425 | Missing: 8 | StateHash: 0x1E686D56
[HEARTBEAT] SimTick: 12493 | NetHead: 12492 | Confirmed: 12485 | Missing: 8 | StateHash: 0x2271CC71
[HEARTBEAT] SimTick: 12553 | NetHead: 12552 | Confirmed: 12545 | Missing: 8 | StateHash: 0x0F59212E
[HEARTBEAT] SimTick: 12613 | NetHead: 12612 | Confirmed: 12605 | Missing: 8 | StateHash: 0x0EA44439
[HEARTBEAT] SimTick: 12673 | NetHead: 12672 | Confirmed: 12665 | Missing: 8 | StateHash: 0xC067A256
